comparison,var_grass,var_grain,IQR_grass,IQR_grain,higher_variance_group,BF_statistic,p_value,p_adjusted_BH,significant_BH_0.05
S3F2_SFA_rib,54.21978103330258,3.9925653539993218,10.588076144798707,1.3955163838923843,Grass,33.500815468992805,6.277226213666662e-08,1.276369330112226e-07,True
S3F2_SFA_loin,40.82633204353181,3.0063160665986346,9.187732831228338,1.210950083987032,Grass,33.500815468992805,6.277226213666662e-08,1.276369330112226e-07,True
S2F2_n6_rib,9878.3337614851,767.2497798314562,142.91572739281406,19.345381960713667,Grass,32.83901938979598,8.174124185828888e-08,1.365120173600196e-07,True
S2F3_n6_rib,21818.303467532485,1708.0471659663654,212.3971403397054,28.86415528386024,Grass,32.74013573081057,8.504027310952043e-08,1.365120173600196e-07,True
S3F2_n6_rib,10102.563951484077,784.6657295312988,144.5286614128227,19.56371219814608,Grass,32.83901938979596,8.174124185829003e-08,1.365120173600196e-07,True
S2F2_n6_loin,3047.647031330764,236.71062046004215,79.38172091153467,10.745281430863884,Grass,32.839019389796,8.174124185828831e-08,1.365120173600196e-07,True
S1F2_n6,134.4237124300207,10.440684254684966,16.67155535938212,2.2566977909993597,Grass,32.839019389796,8.174124185828831e-08,1.365120173600196e-07,True
S3F3_n6_rib,22313.561316690702,1746.818455720222,214.794235324674,29.189913539200376,Grass,32.740135730810564,8.504027310952043e-08,1.365120173600196e-07,True
S3F2_n6_stew,948.7158832143608,73.68672390447679,44.29005932204641,5.995198221205261,Grass,32.83901938979599,8.174124185828888e-08,1.365120173600196e-07,True
S3F2_n6_loin,7607.013944246112,590.8364623853525,125.4137871088497,16.976281470350727,Grass,32.839019389796015,8.174124185828803e-08,1.365120173600196e-07,True
S3F3_MUFA_stew,1.0055974705485835,0.1037802250949347,1.4419502024910325,0.2249915599801177,Grass,29.12144665616149,3.694277083884268e-07,5.778228259408727e-07,True
S3F2_PUFA_rib,6347.016813911334,694.6801428806803,114.55736104441142,18.407777879477763,Grass,28.3150426032986,5.154260096552765e-07,6.986885908660414e-07,True
S2F2_PUFA_loin,1914.708686192653,209.56461006749944,62.92011822357177,10.110389675971788,Grass,28.315042603298608,5.154260096552748e-07,6.986885908660414e-07,True
S3F2_PUFA_stew,596.0383612817147,65.23631906410327,35.105509639653555,5.640968139464075,Grass,28.31504260329861,5.154260096552748e-07,6.986885908660414e-07,True
S3F2_PUFA_loin,4779.167510312609,523.0792459282505,99.40639004977864,15.973227134026416,Grass,28.31504260329862,5.154260096552717e-07,6.986885908660414e-07,True
S1F2_PUFA,84.45277526368832,9.243344977164975,13.214329723994709,2.1233593735733294,Grass,28.315042603298604,5.154260096552748e-07,6.986885908660414e-07,True
S2F2_PUFA_rib,6206.142398966309,679.2614569733498,113.27890552517592,18.20234782232275,Grass,28.315042603298604,5.154260096552748e-07,6.986885908660414e-07,True
S3F3_SFA_stew,1.0190630819157274,0.113136028232078,1.4515724283142777,0.2349142634172869,Grass,28.117848260880567,5.593421840282062e-07,7.417363744721864e-07,True
S3F3_PUFA_rib,9130.593008676797,1285.2076044417283,137.4002960899664,25.037765410094863,Grass,24.73741017279118,2.319760464297098e-06,2.9480289233775624e-06,True
S2F3_PUFA_rib,8927.936077726292,1256.6819403908944,135.86691433885647,24.7583449600598,Grass,24.737410172791183,2.319760464297084e-06,2.9480289233775624e-06,True
S3F3_n6_stew,161.18367607959556,24.395718290296955,18.255709001843123,3.4495760790572447,Grass,23.67289149493699,3.661370682723734e-06,4.55803289073771e-06,True
S3F3_PUFA_stew,335.8587012739984,56.9201164829698,26.352175755896933,5.269165174987919,Grass,21.99185343546437,7.592855801227038e-06,9.263284077496989e-06,True
S3F3_n3_stew,7500.892546134912,2822.8486514022657,124.53592424822288,37.10673302972094,Grass,10.16883739207105,0.0018405389664266,0.0022014289598436,True
S3F2_n3_rib,64897.0912880963,43862.97384209815,366.31170165514095,146.27090860672797,Grass,3.3461924531111884,0.0699514734227491,0.0736206216391808,False
S1F2_n3,863.5142503180431,583.6363729436783,42.254496466202895,16.8725256739134,Grass,3.346192453111187,0.0699514734227492,0.0736206216391808,False
S2F3_n3_loin,17638.274386147677,11961.601234847229,190.97047283218032,76.38420850811275,Grass,3.316037860739696,0.071206830765765,0.0736206216391808,False
S2F2_n3_rib,63456.67604501604,42889.41871235417,362.22367786974655,144.6385311784511,Grass,3.346192453111185,0.0699514734227493,0.0736206216391808,False
S2F2_n3_loin,19577.547695415848,13232.171818676965,201.19506389365813,80.3386423910082,Grass,3.3461924531111884,0.0699514734227491,0.0736206216391808,False
S3F2_n3_stew,6094.383720321292,4119.102850410712,112.25432269330184,44.823961946047945,Grass,3.346192453111186,0.0699514734227493,0.0736206216391808,False
S3F2_n3_loin,48866.117625223305,33027.87839357624,317.86454892595043,126.92561055294344,Grass,3.34619245311119,0.069951473422749,0.0736206216391808,False
S3F3_n3_loin,44025.63611484782,29856.49796500956,301.71089702807507,120.67806989206316,Grass,3.316037860739698,0.071206830765765,0.0736206216391808,False
S2F3_n3_rib,71476.66128397261,68293.87933812842,384.43268536919214,182.5155259210716,Grass,0.928649550018044,0.3372361032822356,0.3372361032822363,False
S3F3_n3_rib,73099.12370801892,69844.09518520402,388.7713580117835,184.57537969859695,Grass,0.9286495500180418,0.3372361032822363,0.3372361032822363,False
